Company,Symbol,Stock Price,1D % Growth,52 Week Change,Dividend Yield,Market Cap,Index Weight
Apple,AAPL,179.8,0.53,6.24,0.53,2828020482048.0,2.84
Amgen,AMGN,260.8,3.11,3.46,3.5,139352473600.0,5.48
American Express,AXP,165.87,-0.65,2.11,1.44,122156449792.0,3.02
Boeing,BA,238.04,-0.09,40.84,0.0,143203434496.0,3.36
Caterpillar,CAT,282.89,0.44,0.0,0.0,146069127168.0,4.52
Salesforce,CRM,211.58,-2.07,12.18,0.0,206078918656.0,2.82
Cisco,CSCO,53.06,0.09,15.3,2.94,216222695424.0,0.96
Chevron,CVX,159.65,-0.15,2.46,3.79,298457694208.0,3.5
Disney,DIS,88.13,1.5,-21.61,0.0,161039941632.0,1.89
Dow,DOW,55.01,-0.92,1.79,5.14,38909399040.0,0.98
Goldman Sachs,GS,348.26,-2.05,0.1,3.11,115778347008.0,7.36
Home Depot,HD,327.81,-0.41,5.21,2.56,329573597184.0,6.27
Honeywell,HON,187.65,-1.03,-4.86,2.18,124914286592.0,4.17
IBM,IBM,145.91,-0.18,10.96,4.6,132924891136.0,2.86
Intel,INTC,35.02,-0.6,-0.99,1.45,146621038592.0,0.57
Johnson & Johnson,JNJ,173.18,0.05,1.47,2.75,450048032768.0,3.43
JPMorgan Chase,JPM,155.88,-0.56,31.67,2.55,453002887168.0,2.61
Coca-Cola,KO,60.92,-0.44,-4.29,3.01,263453392896.0,1.22
McDonald's,MCD,289.58,-0.62,10.8,2.12,211420610560.0,5.24
3M,MMM,104.12,-1.05,-30.3,5.69,57440092160.0,2.41
Merck,MRK,106.41,0.3,19.31,2.78,270008991744.0,2.1
Microsoft,MSFT,326.05,-1.23,12.76,0.83,2424341266432.0,4.88
Nike,NKE,109.69,-0.72,-3.05,1.25,168592424960.0,2.13
Procter & Gamble,PG,157.09,0.11,7.38,2.4,370256412672.0,2.86
Travelers,TRV,167.88,-1.32,1.74,2.35,38434783232.0,3.62
UnitedHealth Group,UNH,505.86,-0.96,-5.93,1.36,470971842560.0,10.29
Visa,V,239.29,-0.92,12.82,0.75,501168963584.0,4.16
Verizon,VZ,32.57,0.12,-27.36,8.02,136924274688.0,0.73
Walgreens Boots Alliance,WBA,29.53,-1.17,-25.99,6.43,25492097024.0,0.79
Walmart,WMT,160.65,0.1,24.4,1.44,432604708864.0,2.94
